id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
2454,doom,DOOM (2016),2016-05-13,85.0,4.38,3549,10,13824,"PC, Xbox One, PlayStation 4, Nintendo Switch","Shooter, Action",2016
2551,dark-souls-iii,Dark Souls III,2016-04-11,89.0,4.4,2683,29,10995,"PC, Xbox One, PlayStation 4","Action, RPG",2016
10754,bioshock-remastered,BioShock Remastered,2016-09-15,,4.24,1404,4,10820,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS",Shooter,2016
10035,hitman,Hitman,2016-03-11,83.0,3.92,1995,7,10789,"PC, Xbox One, PlayStation 4, macOS, Linux","Shooter, Action, Simulation",2016
654,stardew-valley,Stardew Valley,2016-02-25,89.0,4.4,2370,13,10761,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita","Indie, RPG, Simulation",2016
1447,deus-ex-mankind-divided,Deus Ex: Mankind Divided,2016-08-22,83.0,3.96,1991,7,10683,"PC, Xbox One, PlayStation 4, macOS, Linux","Action, RPG",2016
12447,the-elder-scrolls-v-skyrim-special-edition,The Elder Scrolls V: Skyrim Special Edition,2016-10-27,74.0,4.45,1944,9,9987,"PC, Xbox One, PlayStation 4","Action, RPG",2016
9882,dont-starve-together,Don't Starve Together,2016-04-21,83.0,3.77,1370,7,9880,"PC, Xbox One, PlayStation 4, macOS, Linux","Indie, Action, Simulation",2016
864,dishonored-2,Dishonored 2,2016-11-10,86.0,4.26,1981,12,9874,"PC, Xbox One, PlayStation 4","Action, RPG",2016
2462,uncharted-4-a-thiefs-end,Uncharted 4: A Thief’s End,2016-05-10,93.0,4.49,3609,0,9351,"PlayStation 5, PlayStation 4","Shooter, Action",2016
11142,bioshock-2-remastered,BioShock 2 Remastered,2016-09-15,,4.0,993,4,9085,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS","Action, RPG",2016
11147,ark-survival-of-the-fittest,ARK: Survival Of The Fittest,2016-03-15,,2.59,521,1,8918,"PC, iOS, Android, macOS, Linux","Action, RPG, Strategy, Indie, Massively Multiplayer",2016
10989,paladins,Paladins,2016-09-15,78.0,3.08,1406,6,8679,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS","Shooter, Action",2016
923,titanfall-2,Titanfall 2,2016-10-28,87.0,4.31,2032,5,8573,"PC, Xbox One, PlayStation 4","Shooter, Action",2016
1450,inside,INSIDE,2016-06-28,87.0,4.39,2512,4,8219,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS","Adventure, Action, Puzzle, Indie, Platformer",2016
2819,firewatch,Firewatch,2016-02-08,81.0,4.3,2436,5,8118,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux","Indie, Adventure",2016
2093,no-mans-sky,No Man's Sky,2016-08-09,75.0,3.7,1547,15,8100,"PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch","Adventure, Action, RPG, Simulation, Indie, Massively Multiplayer",2016
11052,titan-quest-anniversary-edition,Titan Quest Anniversary Edition,2016-08-31,,3.79,781,5,7979,PC,"Action, RPG",2016
2792,layers-of-fear,Layers of Fear,2016-02-16,72.0,3.53,1109,3,7722,"PC, Xbox One, PlayStation 4, iOS, macOS, Linux","Indie, Adventure",2016
998,battlefield-1,Battlefield 1,2016-10-21,88.0,3.83,1929,6,7661,"PC, Xbox One, PlayStation 4","Shooter, Action",2016
1256,xcom-2,XCOM 2,2016-02-04,88.0,4.1,1289,15,7583,"PC, PlayStation 4, Nintendo Switch, macOS, Linux","Strategy, RPG",2016
17959,ori-and-the-blind-forest-definitive-edition,Ori and the Blind Forest: Definitive Edition,2016-04-27,88.0,4.42,1684,6,7554,"PC, Xbox One, Nintendo Switch, Xbox 360","Platformer, Adventure",2016
10297,civilization-vi,Sid Meier’s Civilization VI,2016-10-20,88.0,4.16,1387,15,7375,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux","Strategy, Simulation",2016
10061,watch_dogs-2,Watch Dogs 2,2016-11-28,79.0,3.84,1730,17,7241,"PC, Xbox One, PlayStation 4","Adventure, Action",2016
10548,darksiders-warmastered-edition,Darksiders Warmastered Edition,2016-11-29,79.0,3.68,925,5,7140,"PC, Xbox One, PlayStation 4, Nintendo Switch, Wii U","Action, RPG",2016
1244,darkest-dungeon,Darkest Dungeon,2016-01-18,84.0,4.17,1326,8,6936,"PC, PlayStation 4, Xbox One, Nintendo Switch, macOS, Linux, PS Vita","Strategy, Indie, RPG",2016
6617,quantum-break,Quantum Break,2016-04-05,66.0,3.91,1306,6,6721,"PC, Xbox One","Shooter, Action",2016
817974,wallpaper-engine,Wallpaper Engine,2016-10-10,,4.02,253,13,6529,"PC, Android",Casual,2016
1169,mafia-iii,Mafia III,2016-10-06,62.0,3.13,1347,9,6490,"PC, Xbox One, PlayStation 4, macOS","Adventure, Action",2016
7819,superhot,SUPERHOT,2016-02-24,82.0,4.19,1515,4,6487,"PC, PlayStation 4, Xbox One, Nintendo Switch, macOS, Linux, Web","Shooter, Indie, Action",2016
2873,the-witness,The Witness,2016-01-25,87.0,4.0,1265,4,6342,"PC, Xbox One, PlayStation 4, iOS, Android, macOS","Indie, Adventure, Puzzle",2016
2728,tom-clancys-the-division,Tom Clancy’s The Division,2016-03-07,80.0,3.7,1331,27,6059,"PC, Xbox One, PlayStation 4","Shooter, Action, RPG",2016
2553,ratchet-clank,Ratchet & Clank,2016-04-12,85.0,4.05,1445,18,6026,PlayStation 4,"Shooter, Adventure, Action",2016
9966,dead-by-daylight,Dead by Daylight,2016-06-14,72.0,3.5,970,10,5958,"PC, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch",Action,2016
2115,overcooked,Overcooked,2016-08-01,81.0,4.07,1335,4,5909,"PC, Xbox One, PlayStation 4, Nintendo Switch","Casual, Indie, Arcade, Simulation",2016
13247,human-fall-flat,Human: Fall Flat,2016-07-22,70.0,3.82,1011,5,5869,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux","Indie, Action, Puzzle",2016
750,final-fantasy-xv,FINAL FANTASY XV,2016-11-29,82.0,3.87,1412,5,5795,"PC, Xbox One, PlayStation 4",RPG,2016
10090,beholder,Beholder,2016-11-08,75.0,3.81,704,4,5544,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux","Indie, Strategy, Adventure, RPG",2016
12569,starbound,Starbound,2016-07-22,81.0,3.82,844,17,5460,"PC, macOS, Linux","Casual, Indie, Action, RPG",2016
829,killing-floor-2,Killing Floor 2,2016-11-18,75.0,3.53,803,9,5422,"PC, Xbox One, PlayStation 4",Action,2016
2574,enter-the-gungeon,Enter the Gungeon,2016-04-04,84.0,4.08,1044,6,5345,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux","Shooter, Indie, Action",2016
2300,drawful-2,Drawful 2,2016-06-20,74.0,3.21,316,1,5279,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS","Casual, Strategy, Indie",2016
295021,orwell,Orwell: Keeping an Eye On You,2016-10-27,77.0,3.27,551,3,5247,"PC, iOS, Android, macOS, Linux","Indie, Adventure, Simulation, Puzzle",2016
10040,stellaris,Stellaris,2016-05-08,78.0,4.1,687,10,5147,"PC, macOS, Linux","Strategy, Simulation",2016
295,oxenfree,Oxenfree,2016-01-14,80.0,3.91,913,4,5131,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS, Linux","Indie, Adventure, RPG",2016
7381,abzu-2,ABZU,2016-08-02,83.0,3.92,1088,3,5107,"PC, Xbox One, PlayStation 4, Nintendo Switch","Indie, Adventure, Simulation",2016
