id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
3328,the-witcher-3-wild-hunt,The Witcher 3: Wild Hunt,2015-05-18,92.0,4.65,6857,43,21583,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS","Action, RPG",2015
3439,life-is-strange-episode-1-2,Life is Strange,2015-01-29,83.0,4.11,3696,6,15734,"PC, PlayStation 4, Xbox One, iOS, Android, macOS, Linux, Xbox 360, PlayStation 3",Adventure,2015
3070,fallout-4,Fallout 4,2015-11-09,84.0,3.81,3339,38,14051,"PC, PlayStation 5, Xbox One, PlayStation 4","Action, RPG",2015
3272,rocket-league,Rocket League,2015-07-07,86.0,3.93,2815,21,12750,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux","Racing, Indie, Sports",2015
7689,rise-of-the-tomb-raider,Rise of the Tomb Raider,2015-11-10,86.0,4.04,2736,14,12183,"PC, Xbox One, PlayStation 4, macOS",Action,2015
3287,batman-arkham-knight,Batman: Arkham Knight,2015-06-23,81.0,4.24,2621,19,12081,"PC, Xbox One, PlayStation 4, Nintendo Switch",Action,2015
3192,metal-gear-solid-v-the-phantom-pain,Metal Gear Solid V: The Phantom Pain,2015-09-01,91.0,4.16,2493,22,12062,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3","Shooter, Action",2015
3017,just-cause-3,Just Cause 3,2015-11-30,74.0,3.4,1553,7,9309,"PC, Xbox One, PlayStation 4","Shooter, Action",2015
108,mortal-kombat-x,Mortal Kombat X,2015-04-07,76.0,3.86,2084,7,8947,"PC, Xbox One, PlayStation 4","Action, Fighting",2015
3191,mad-max,Mad Max,2015-08-31,73.0,3.77,1720,11,8713,"PC, Xbox One, PlayStation 4, macOS, Linux, Xbox 360","Adventure, Action",2015
9810,ark-survival-evolved,ARK: Survival Evolved,2015-06-02,70.0,3.06,656,6,8645,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux","Adventure, Action, RPG, Indie, Massively Multiplayer",2015
