id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
19710,half-life-2-episode-one,Half-Life 2: Episode One,2006-06-01,87.0,4.38,2008,4,11302,"PC, Android, macOS, Linux, Xbox 360","Shooter, Action",2006
11935,half-life-deathmatch-source,Half-Life Deathmatch: Source,2006-05-01,,3.21,728,1,10370,"PC, macOS, Linux",Action,2006
18183,company-of-heroes,Company of Heroes,2006-09-11,93.0,3.68,565,7,5806,"PC, iOS",Strategy,2006
19569,hitman-blood-money,Hitman: Blood Money,2006-05-29,82.0,4.31,1027,2,5798,"PC, PlayStation 4, Xbox 360, Xbox, PlayStation 3, PlayStation 2","Shooter, Action",2006
5298,tomb-raider-legend,Tomb Raider: Legend,2006-04-06,82.0,3.9,529,2,4481,"PC, Xbox 360, Xbox, PlayStation 3, PlayStation 2, PSP, GameCube","Adventure, Action",2006
19685,just-cause,Just Cause,2006-09-22,75.0,3.3,437,1,4117,"PC, Xbox 360, Xbox, PlayStation 2","Shooter, Action",2006
123,titan-quest,Titan Quest,2006-06-26,69.0,3.9,571,1,3954,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android","Action, RPG",2006
19380,dark-messiah-of-might-magic,Dark Messiah of Might and Magic,2006-10-24,72.0,4.3,670,2,3728,"PC, Xbox 360","Action, RPG",2006
10393,gothic-3,Gothic 3,2006-10-12,63.0,3.71,516,1,3521,PC,"Adventure, Action, RPG",2006
28615,gears-of-war,Gears of War,2006-11-08,90.0,4.11,822,7,3289,"PC, Xbox One, Xbox 360","Shooter, Action",2006
5678,the-elder-scrolls-iv-oblivion,The Elder Scrolls IV: Oblivion,2006-03-20,94.0,4.33,930,4,3242,"PC, Xbox One, Xbox 360, PlayStation 3",RPG,2006
19628,flatout-2,FlatOut 2,2006-06-29,76.0,4.31,630,2,2846,"PC, Linux, Xbox, PlayStation 2","Racing, Arcade",2006
17169,the-ship-murder-party,The Ship: Murder Party,2006-07-11,76.0,2.98,182,3,2713,PC,"Indie, Action, RPG",2006
19151,the-ship-single-player,The Ship: Single Player,2006-11-20,,2.66,176,1,2690,PC,"Indie, Action, RPG",2006
12649,warhammer-40000-dawn-of-war-dark-crusade,"Warhammer 40,000: Dawn of War - Dark Crusade",2006-10-09,87.0,4.18,308,3,2480,PC,Strategy,2006
12319,defcon,DEFCON,2006-09-28,84.0,3.05,176,1,2479,"PC, macOS, Linux","Strategy, Indie",2006
1320,dead-rising,Dead Rising,2006-08-08,82.0,3.68,365,5,2393,"PC, Xbox One, PlayStation 4, Xbox 360",Action,2006
13779,civilization-iv-warlords,Civilization IV: Warlords,2006-07-26,84.0,3.7,150,1,2374,"PC, macOS",Strategy,2006
4493,tcs-sc-double-agent,Tom Clancy's Splinter Cell Double Agent,2006-10-17,80.0,3.79,335,2,1995,"PC, Xbox One, Xbox 360, Xbox, PlayStation 3, PlayStation 2, Wii, GameCube","Adventure, Action",2006
19572,call-of-juarez,Call of Juarez,2006-09-06,72.0,3.83,297,3,1920,"PC, Xbox 360","Shooter, Action",2006
20654,tom-clancys-rainbowsix-vegas,Tom Clancy's Rainbow Six Vegas,2006-11-22,85.0,3.66,272,1,1844,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Action",2006
