id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
4005,wolfenstein-3d,Wolfenstein 3D,1992-05-05,,4.08,346,1,1915,"PC, Xbox One, iOS, macOS, Xbox 360, PlayStation 3, Game Boy Advance, SNES, Classic Macintosh, 3DO, Jaguar","Shooter, Action",1992
22733,lure-of-the-temptress,Lure of the Temptress,1992-04-11,,2.04,99,1,1788,"PC, macOS, Linux, Classic Macintosh, Commodore / Amiga, Atari ST",Adventure,1992
54285,mortal-kombat,Mortal Kombat,1992-08-09,,3.95,472,24,1769,"PC, Game Boy, SNES, Commodore / Amiga, Genesis, SEGA CD, SEGA Master System, Game Gear",Fighting,1992
2552,sonic-the-hedgehog-2,Sonic the Hedgehog 2,1992-11-21,78.0,4.29,382,5,1348,"PC, Xbox One, iOS, Android, Nintendo 3DS, Xbox 360, PlayStation 3, Wii, GameCube, Genesis, Game Gear","Platformer, Arcade, Action",1992
29826,indiana-jones-and-the-fate-of-atlantis,Indiana Jones and the Fate of Atlantis: The Graphic Adventure,1992-06-01,,4.25,113,1,991,"PC, macOS, Linux, Classic Macintosh, Commodore / Amiga",Adventure,1992
4678,streets-of-rage-2,Streets of Rage 2,1992-12-20,,4.1,231,6,914,"PC, iOS, Android, Nintendo 3DS, Linux, Xbox 360, PlayStation 3, Wii, Classic Macintosh, Genesis, SEGA Master System, Game Gear","Arcade, Action",1992
1922,final-fantasy-v,FINAL FANTASY V,1992-12-06,,4.06,148,4,878,"PC, iOS, Android, Game Boy Advance, SNES",RPG,1992
15235,wizardry-7-crusaders-of-the-dark-savant,Wizardry 7: Crusaders of the Dark Savant,1992-10-15,,2.73,22,1,707,"PC, macOS, Linux","Adventure, RPG",1992
30745,dune-ii,Dune II: Battle For Arrakis,1992-12-01,,4.37,242,0,438,"PC, Commodore / Amiga, Genesis",Strategy,1992
17786,cosmos-cosmic-adventure,Cosmo's Cosmic Adventure,1992-02-29,,2.62,13,1,384,"PC, macOS, Linux","Arcade, Platformer, Adventure, Action",1992
17943,secret-agent,Secret Agent,1992-02-01,,2.25,12,1,383,"PC, macOS, Linux","Adventure, Action, Casual, Arcade, Platformer",1992
15512,alone-in-the-dark-1,Alone in the Dark 1,1992-01-01,,3.97,78,1,366,"PC, iOS, Classic Macintosh, 3DO","Adventure, Action",1992
30025,minesweeper,MineSweeper (Microsoft),1992-04-06,,3.97,136,1,364,"PC, iOS","Strategy, Puzzle",1992
3054,super-star-wars,Super Star Wars,1992-06-01,,3.51,47,0,322,"PC, PlayStation 4, SNES, Genesis, SEGA CD","Platformer, Arcade, Action",1992
14949,baseball-stars-2,BASEBALL STARS 2,1992-04-14,,2.78,9,1,264,"PC, Wii","Arcade, Sports",1992
53781,darkwing-duck,Disney's Darkwing Duck,1992-06-01,,4.28,124,0,258,"Game Boy, NES, SEGA 32X","Platformer, Action",1992
30459,flashback-1992,Flashback: The Quest for Identity,1992-01-01,,4.31,83,0,231,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, SNES, Classic Macintosh, Commodore / Amiga, Genesis, SEGA CD, 3DO, Jaguar","Arcade, Adventure, Action, Puzzle",1992
55301,super-mario-land-2-6-golden-coins,Super Mario Land 2: 6 Golden Coins,1992-10-21,,4.28,85,2,218,"Nintendo 3DS, Game Boy",,1992
19077,rex-nebular-and-the-cosmic-gender-bender,Rex Nebular and the Cosmic Gender Bender,1992-10-31,,0.0,3,1,206,"PC, macOS, Linux",Adventure,1992
19122,darklands,Darklands,1992-01-01,,3.57,6,1,205,"PC, macOS, Linux","Adventure, RPG",1992
57540,teenage-mutant-ninja-turtles-turtles-in-time,Teenage Mutant Ninja Turtles IV: Turtles in Time,1992-07-24,,4.38,103,0,205,SNES,"Arcade, Action",1992
20999,call-of-cthulhu-shadow-of-the-comet,Call of Cthulhu: Shadow of the Comet,1992-12-31,,3.58,12,1,201,"PC, Linux",Adventure,1992
57215,teenage-mutant-ninja-turtles-the-hyperstone-heist,Teenage Mutant Ninja Turtles: The Hyperstone Heist,1992-08-11,,4.27,100,0,197,Genesis,"Arcade, Action",1992
53232,desert-strike,Desert Strike,1992-02-01,,4.16,90,0,191,"PC, Game Boy Advance, Game Boy, SNES, Commodore / Amiga, Genesis, SEGA Master System, Game Gear",,1992
30411,return-of-the-phantom,Return of the Phantom,1992-01-01,,0.0,2,1,189,PC,Adventure,1992
55278,kirbys-dream-land-1992,Kirby's Dream Land (1992),1992-04-27,,3.77,58,0,186,Game Boy,"Platformer, Action",1992
54255,ecco-the-dolphin-1992,Ecco the Dolphin (1992),1992-07-31,,3.77,78,0,185,"PC, iOS, Nintendo 3DS, Xbox 360, Wii, Genesis, SEGA CD, SEGA Master System, Game Gear",,1992
19024,putt-putt-joins-the-parade,Putt-Putt Joins the Parade,1992-04-17,,4.0,7,1,173,"PC, iOS, Android, macOS, Linux","Casual, Educational, Adventure",1992
53943,mega-man-5,Mega Man 5 (1992),1992-12-04,,4.05,60,0,166,"iOS, Android, Nintendo 3DS, PlayStation, Wii U, Wii, NES",Action,1992
53816,felix-the-cat,Felix the Cat,1992-10-01,,4.32,88,0,158,"Game Boy, NES",,1992
53763,contra-force,Contra Force,1992-09-30,,4.36,70,0,148,NES,"Shooter, Platformer, Action",1992
57189,street-fighter-ii-champion-edition,Street Fighter II: Champion Edition,1992-03-01,,4.31,61,0,143,"Wii, Genesis, SEGA Master System",Fighting,1992
24896,contra-iii-the-alien-wars,Contra III: The Alien Wars,1992-02-28,70.0,4.09,57,4,134,"Game Boy Advance, Game Boy, SNES","Shooter, Action",1992
22932,legend-of-kyrandia-the-book-one,"Legend of Kyrandia, The (Book One)",1992-05-31,,4.22,60,0,106,"PC, macOS, Commodore / Amiga",Adventure,1992
