id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
3449,resident-evil,Resident Evil,1996-03-22,91.0,4.18,790,4,5415,"PC, PlayStation, SEGA Saturn","Shooter, Action",1996
31771,the-elder-scrolls-chapter-two-daggerfall,The Elder Scrolls II: Daggerfall,1996-08-30,,3.3,108,1,3362,PC,"Action, RPG",1996
54491,quake,Quake,1996-06-22,94.0,4.25,475,1,3278,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, macOS, Linux, Xbox, Nintendo 64, Classic Macintosh, Commodore / Amiga, SEGA Saturn","Shooter, Action",1996
5488,crash-bandicoot,Crash Bandicoot,1996-09-09,,4.14,777,20,2816,PlayStation,"Platformer, Action",1996
17993,stargunner,Stargunner,1996-11-18,,2.03,90,1,1898,"PC, macOS, Linux","Shooter, Arcade, Action",1996
22448,final-doom,Final DOOM,1996-05-31,,4.13,145,1,1874,"PC, PlayStation, Classic Macintosh","Shooter, Action",1996
20959,realms-of-the-haunting,Realms of the Haunting,1996-12-31,,2.59,66,1,1651,"PC, macOS, Linux","Adventure, Action",1996
54528,super-mario-64-1996,Super Mario 64,1996-06-23,94.0,4.4,725,12,1472,Nintendo 64,Platformer,1996
22911,syndicate-wars,Syndicate Wars,1996-10-31,,2.82,57,1,1422,"PC, PlayStation","Strategy, Action",1996
14948,metal-slug,METAL SLUG,1996-04-19,,4.14,251,2,1273,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, Android, PlayStation 3, PlayStation 2, PlayStation, Wii, Neo Geo","Casual, Arcade, Action, Fighting",1996
23114,war-wind,War Wind,1996-10-23,,2.22,27,1,1267,PC,Strategy,1996
17753,death-rally-1996,Death Rally (Classic),1996-09-06,,3.06,36,1,1122,"PC, macOS","Racing, Arcade",1996
23762,pokemon-red,"Pokémon Red, Blue, Yellow",1996-02-27,,4.39,516,33,1065,"Nintendo 3DS, Game Boy","Adventure, Action, RPG",1996
29593,diablo,Diablo,1996-12-31,94.0,4.4,520,1,1035,"PC, macOS, PlayStation","Action, RPG",1996
28510,duke-nukem-3d,Duke Nukem 3D,1996-01-29,84.0,4.35,288,1,999,"PC, iOS, Android, Xbox 360, PlayStation, Genesis, SEGA Saturn","Shooter, Action",1996
21097,normality,Normality,1996-06-29,,2.17,41,4,959,"PC, macOS, Linux","Adventure, Action",1996
21312,hexen-deathkings-of-the-dark-citadel,HeXen: Deathkings of the Dark Citadel,1996-01-01,,3.49,49,1,920,"PC, macOS, Classic Macintosh","Shooter, Action",1996
16210,toonstruck,Toonstruck,1996-11-03,,3.15,73,1,911,"PC, macOS, Linux","Adventure, Puzzle",1996
57666,pandemonium,Pandemonium!,1996-10-31,,3.25,52,1,866,"PC, iOS, PlayStation, SEGA Saturn","Platformer, Adventure, Action",1996
22903,leisure-suit-larry-love-for-sail,Leisure Suit Larry: Love for Sail!,1996-12-30,,4.17,66,1,796,"PC, macOS","Adventure, Puzzle",1996
22641,fantasy-general,Fantasy General,1996-02-29,,2.43,61,1,763,"PC, macOS, Linux",Strategy,1996
31759,tomb-raider-1996,Tomb Raider,1996-10-25,88.0,4.08,276,0,703,"PC, iOS, Android, PlayStation, SEGA Saturn",Action,1996
18631,phantasmagoria-2-a-puzzle-of-flesh,Phantasmagoria 2: A Puzzle of Flesh,1996-12-02,,3.5,24,1,630,PC,Adventure,1996
49300,ad-2044,A.D. 2044,1996-09-08,,1.81,57,1,604,PC,,1996
54435,mario-kart-64-1996,Mario Kart 64 (1996),1996-12-14,83.0,4.34,300,75,600,"Wii U, Wii, Nintendo 64",Racing,1996
22969,z,Z: The Game,1996-07-31,,3.98,58,5,574,"PC, iOS, PlayStation, SEGA Saturn","Adventure, Action, Casual, Strategy, Indie",1996
31014,the-neverhood,The Neverhood,1996-10-31,,4.37,278,0,554,"PC, PlayStation","Adventure, Puzzle",1996
19058,harvester,Harvester,1996-09-25,53.0,3.73,36,4,545,"PC, macOS, Linux",Adventure,1996
6214,dink-smallwood-hd,Dink Smallwood HD,1996-12-31,,0.0,5,1,520,"PC, iOS, Android, macOS, Web","Adventure, Action, RPG",1996
