id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
432,grand-theft-auto-iii,Grand Theft Auto III,2001-10-22,93.0,4.15,1603,1,7206,"PC, PlayStation 4, iOS, Android, macOS, Xbox, PlayStation 2","Shooter, Action",2001
19542,half-life-blue-shift,Half-Life: Blue Shift,2001-06-01,71.0,3.72,749,2,6999,"PC, macOS, Linux, Dreamcast","Shooter, Action",2001
2518,max-payne,Max Payne,2001-07-25,89.0,4.45,1972,2,5677,"PC, PlayStation 4, Xbox 360, Xbox, PlayStation 3, PlayStation 2, Classic Macintosh","Shooter, Action",2001
17380,sid-meiers-civilization-iii-complete,Sid Meier's Civilization III Complete,2001-10-29,90.0,3.69,462,1,5554,PC,"Strategy, Simulation",2001
20405,deathmatch-classic,Deathmatch Classic,2001-06-01,,2.74,258,1,4484,"PC, macOS, Linux",Action,2001
19196,arma-cold-war-assault,ARMA: Cold War Assault,2001-08-29,,2.87,210,1,4371,PC,"Strategy, Action, Simulation",2001
22789,serious-sam-the-first-encounter,Serious Sam: The First Encounter,2001-03-21,87.0,4.03,596,1,3993,PC,"Shooter, Indie, Action",2001
19284,fallout-tactics-brotherhood-of-steel,Fallout Tactics: Brotherhood of Steel,2001-03-01,82.0,3.37,335,1,3868,PC,"Strategy, RPG",2001
18726,gothic-1,Gothic,2001-03-15,81.0,4.36,722,1,3662,"PC, Nintendo Switch","Action, RPG",2001
343597,sonic-adventure-2,Sonic Adventure 2,2001-06-18,89.0,3.96,359,2,2750,"PC, Xbox One, Xbox 360, PlayStation 3, GameCube, Dreamcast","Platformer, Adventure, Action",2001
6530,uplink,Uplink,2001-09-30,75.0,3.33,144,1,2441,"PC, iOS, macOS, Linux","Strategy, Indie, Simulation",2001
17604,return-to-castle-wolfenstein,Return to Castle Wolfenstein,2001-06-11,88.0,4.22,451,1,2345,"PC, macOS, Linux, PlayStation 2",Shooter,2001
19627,commandos-2-men-of-courage,Commandos 2: Men of Courage,2001-09-20,87.0,4.23,216,1,2236,"PC, Xbox, PlayStation 2",Action,2001
680,red-faction,Red Faction,2001-05-01,78.0,3.88,274,1,2187,"PC, PlayStation 4, macOS, PlayStation 2","Shooter, Action",2001
10119,legacy-of-kain-soul-reaver-2,Legacy of Kain: Soul Reaver 2,2001-10-29,77.0,3.91,156,1,2123,"PC, PlayStation 2","Platformer, Adventure, Action",2001
15853,star-wars-starfighter-2,STAR WARS Starfighter,2001-02-18,71.0,2.89,89,1,1932,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Action, Simulation",2001
19459,x-com-enforcer,X-COM: Enforcer,2001-04-17,65.0,2.31,77,1,1832,PC,"Arcade, Shooter, Strategy, Action",2001
29642,silent-hill-2,Silent Hill 2 (2001),2001-09-24,89.0,4.4,917,14,1811,"PC, Xbox, PlayStation 2","Adventure, Action",2001
22842,anachronox,Anachronox,2001-06-26,77.0,3.33,87,1,1800,PC,"Action, RPG",2001
4490,ico,ICO,2001-09-24,90.0,4.34,386,0,1738,"PlayStation 3, PlayStation 2","Platformer, Action",2001
4469,jak-and-daxter-the-precursor-legacy,Jak and Daxter: The Precursor Legacy,2001-12-04,90.0,4.01,379,1,1711,"PlayStation 4, PlayStation 3, PlayStation 2, PS Vita","Platformer, Action",2001
18628,arcanum-of-steamworks-and-magick-obscura,Arcanum: Of Steamworks and Magick Obscura,2001-08-21,81.0,4.36,311,1,1637,PC,RPG,2001
40746,runescape,RuneScape,2001-03-29,,3.45,107,1,1561,"PC, iOS, Android","Massively Multiplayer, Adventure, RPG",2001
