id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
13554,fallout-a-post-nuclear-role-playing-game,Fallout,1997-09-30,,4.2,1200,1,8423,"PC, macOS, Linux, Classic Macintosh",RPG,1997
5193,oddworld-abes-oddysee,Oddworld: Abe's Oddysee,1997-09-19,85.0,3.54,556,3,5747,"PC, PlayStation 5, PlayStation 4, PlayStation","Platformer, Action",1997
15317,shadow-warrior-classic-redux,Shadow Warrior,1997-05-13,73.0,3.33,373,1,4531,"PC, macOS, Linux","Shooter, Action",1997
52939,final-fantasy-vii,Final Fantasy VII (1997),1997-01-31,83.0,4.38,1012,3,4305,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, PlayStation","Adventure, Action, RPG",1997
57908,tomb-raider-ii,Tomb Raider II,1997-10-31,69.0,3.74,298,1,3260,"PC, iOS, Android, macOS, PlayStation, Classic Macintosh","Platformer, Shooter, Adventure, Action",1997
10665,postal,POSTAL,1997-11-14,56.0,2.98,237,2,3033,"PC, macOS, Linux","Indie, Action",1997
11975,star-wars-jedi-knight-dark-forces-ii,STAR WARS Jedi Knight: Dark Forces II,1997-09-30,91.0,3.69,202,1,2849,PC,"Shooter, Action",1997
54492,quake-2,Quake II,1997-12-09,,4.17,405,1,2768,"PC, Linux, Xbox 360, PlayStation, Nintendo 64, Classic Macintosh, Commodore / Amiga","Shooter, Action",1997
52827,crash-bandicoot-2,Crash Bandicoot 2: Cortex Strikes Back,1997-11-01,,4.26,606,0,2464,PlayStation,Platformer,1997
52998,grand-theft-auto-1998,Grand Theft Auto,1997-10-21,,3.86,395,1,1915,"PC, PlayStation, Game Boy Color, Game Boy",Action,1997
20567,x-com-apocalypse,X-COM: Apocalypse,1997-07-14,,2.87,85,1,1897,PC,Strategy,1997
52790,castlevania-sotn,Castlevania: Symphony of the Night,1997-03-20,93.0,4.34,544,19,1724,"iOS, Android, Xbox 360, PlayStation, SEGA Saturn","Adventure, Action",1997
14829,turok,Turok: Dinosaur Hunter,1997-03-04,,3.71,136,1,1419,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Nintendo 64, Game Boy","Platformer, Shooter, Adventure, Action",1997
21262,mdk,MDK,1997-04-30,,3.55,173,1,1163,"PC, macOS, PlayStation, Classic Macintosh",Action,1997
21350,quake-mission-pack-1-scourge-of-armagon,QUAKE Mission Pack 1: Scourge of Armagon,1997-01-01,,3.58,63,1,1162,PC,"Shooter, Action",1997
21320,quake-mission-pack-2-dissolution-of-eternity,QUAKE Mission Pack 2: Dissolution of Eternity,1997-03-31,,3.5,58,1,1157,PC,"Shooter, Action",1997
30789,the-curse-of-monkey-island,The Curse of Monkey Island,1997-10-31,89.0,4.29,217,2,1109,"PC, macOS",Adventure,1997
22695,total-annihilation-commander-pack,Total Annihilation: Commander Pack,1997-09-30,,3.17,59,1,1056,"PC, macOS",Strategy,1997
29383,hexen-ii,HeXen II,1997-08-31,,3.56,71,1,999,PC,"Shooter, Action",1997
22702,dungeon-keeper-gold,Dungeon Keeper Gold,1997-06-26,,4.03,156,1,967,"PC, macOS","Strategy, Action, RPG",1997
57842,tekken-3,Tekken 3,1997-03-20,96.0,4.37,552,1,955,PlayStation,Fighting,1997
54381,doom-64,Doom 64,1997-03-31,76.0,3.9,105,2,827,"PC, Xbox One, PlayStation 4, Nintendo Switch, Nintendo 64","Shooter, Action",1997
19278,blood-one-unit-whole-blood,Blood,1997-03-07,82.0,4.27,165,1,757,"PC, Linux","Shooter, Indie, Action, Simulation",1997
4957,theme-hospital,Theme Hospital,1997-03-30,,4.32,230,1,742,"PC, macOS, PlayStation","Strategy, Simulation",1997
21068,little-big-adventure-2,Little Big Adventure 2,1997-05-30,,3.96,76,1,681,"PC, macOS","Arcade, Adventure, Action, Puzzle",1997
9549,constructor,Constructor,1997-11-29,,3.21,70,1,670,"PC, PlayStation","Strategy, Simulation",1997
