id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
4459,grand-theft-auto-iv,Grand Theft Auto IV,2008-04-29,95.0,4.26,3022,10,12958,"PC, Xbox One, Xbox 360, PlayStation 3",Action,2008
17822,the-witcher-enhanced-edition-directors-cut,The Witcher: Enhanced Edition Director's Cut,2008-09-16,86.0,4.05,2021,5,11832,"PC, macOS","Action, RPG",2008
4252,mirrors-edge,Mirror's Edge,2008-11-11,81.0,4.07,2333,3,10784,"PC, Xbox 360, PlayStation 3",Action,2008
4570,dead-space,Dead Space (2008),2008-10-13,86.0,4.38,2157,3,9402,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Action",2008
13535,left-4-dead,Left 4 Dead,2008-11-17,89.0,4.1,1668,5,9148,"PC, macOS, Xbox 360","Shooter, Action",2008
4599,saints-row-2,Saints Row 2,2008-10-14,78.0,3.56,886,2,7452,"PC, Xbox One, Linux, Xbox 360, PlayStation 3","Shooter, Action",2008
4954,castle-crashers,Castle Crashers,2008-08-27,84.0,3.89,1204,4,6976,"PC, Nintendo Switch, macOS, Xbox 360, PlayStation 3","Indie, Action",2008
5562,fallout-3,Fallout 3,2008-10-28,91.0,4.08,1900,4,6577,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, RPG",2008
5161,braid,Braid,2008-08-06,92.0,4.16,984,2,5430,"PC, Xbox One, iOS, macOS, Linux, Xbox 360, PlayStation 3","Action, Puzzle, Arcade, Indie, Platformer",2008
5578,grid,GRID (2008),2008-06-03,87.0,3.66,522,1,5409,"PC, Xbox One, Nintendo DS, Xbox 360, PlayStation 3",Racing,2008
19600,far-cry-2-fortunes-edition,Far Cry 2,2008-10-21,85.0,3.46,1011,2,5117,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Action",2008
4869,tomb-raider-underworld,Tomb Raider: Underworld,2008-11-18,80.0,3.69,525,1,4921,"PC, Nintendo DS, macOS, Xbox 360, PlayStation 3, Wii","Adventure, Action",2008
19057,stalker-clear-sky,S.T.A.L.K.E.R.: Clear Sky,2008-08-22,75.0,3.89,859,3,4615,"PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch","Shooter, RPG",2008
1140,world-of-goo,World of Goo,2008-10-13,90.0,4.02,819,1,4561,"PC, Nintendo Switch, iOS, Android, macOS, Linux, Wii","Educational, Puzzle, Strategy, Indie, Family",2008
5528,call-of-duty-world-at-war,Call of Duty: World at War,2008-11-11,83.0,3.94,1171,8,4545,"PC, Xbox One, Nintendo DS, Xbox 360, PlayStation 3, Wii",Shooter,2008
16787,bully-scholarship-edition,Bully: Scholarship Edition,2008-03-04,72.0,4.13,752,2,4467,"PC, Xbox 360, Wii","Adventure, Action",2008
4744,prince-of-persia,Prince of Persia (2008),2008-12-02,82.0,3.78,884,1,3955,"PC, macOS, Xbox 360, PlayStation 3","Adventure, Action",2008
14990,viking,Viking: Battle for Asgard,2008-03-25,66.0,2.51,274,1,3919,"PC, Xbox 360, PlayStation 3","Adventure, Action, RPG, Fighting",2008
11425,spore,SPORE,2008-09-04,84.0,4.15,855,4,3551,PC,"Family, Simulation",2008
16856,audiosurf,AudioSurf,2008-02-15,85.0,3.93,544,3,3320,PC,Indie,2008
5706,valkyria-chronicles,Valkyria Chronicles,2008-04-24,85.0,4.06,409,6,3299,"PC, Nintendo Switch, PlayStation 3","Strategy, Action, RPG",2008
16543,lego-batman,LEGO Batman,2008-09-23,80.0,3.77,475,2,3204,"PC, Xbox One, Nintendo DS, macOS, Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii","Family, Action",2008
16813,mount-blade,Mount & Blade,2008-09-16,72.0,3.89,352,4,3063,PC,"Indie, Action, RPG",2008
28619,gears-of-war-2,Gears of War 2,2008-11-07,93.0,4.28,708,22,2970,"Xbox One, Xbox 360",Shooter,2008
17818,overlord-raising-hell,Overlord: Raising Hell,2008-02-15,72.0,3.71,205,2,2917,"PC, macOS, Linux, Xbox 360, PlayStation 3",RPG,2008
12022,kings-bounty-the-legend,King's Bounty: The Legend,2008-04-24,79.0,4.2,368,3,2814,"PC, macOS","Strategy, RPG",2008
19640,assassins-creed-directors-cut-edition,Assassin's Creed: Director's Cut Edition,2008-04-09,79.0,3.92,413,5,2753,PC,"Adventure, Action",2008
5390,burnout-paradise,Burnout Paradise,2008-01-22,87.0,4.09,620,8,2626,"Xbox 360, PlayStation 3","Racing, Arcade",2008
19615,crysis-warhead,Crysis Warhead,2008-09-16,84.0,3.8,420,2,2528,PC,"Shooter, Action",2008
20511,trackmania-nations-forever,TrackMania Nations Forever,2008-04-16,,3.74,276,1,2524,PC,Racing,2008
12648,warhammer-40000-dawn-of-war-soulstorm,"Warhammer 40,000: Dawn of War - Soulstorm",2008-03-04,,4.01,282,4,2492,PC,Strategy,2008
28608,fable-ii,Fable II,2008-10-21,89.0,4.14,510,27,2449,"Xbox One, Xbox 360","Adventure, Action, RPG",2008
13777,sid-meiers-civilization-iv-colonization,Sid Meier's Civilization IV: Colonization,2008-09-22,83.0,3.61,163,1,2422,"PC, iOS, macOS","Strategy, Educational, Simulation",2008
3179,littlebigplanet,LittleBigPlanet,2008-10-27,95.0,4.09,550,5,2374,PlayStation 3,"Arcade, Action",2008
16123,the-last-remnant,The Last Remnant,2008-01-01,66.0,3.24,143,2,2294,"PC, Xbox 360","Strategy, RPG",2008
19535,devil-may-cry-4,Devil May Cry 4,2008-01-22,78.0,4.13,585,3,2280,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",Action,2008
19345,command-conquer-red-alert-3-2,Command & Conquer: Red Alert 3,2008-01-01,82.0,3.97,355,3,2209,"PC, Xbox One, Xbox 360, PlayStation 3","Strategy, Simulation",2008
3469,metal-gear-solid-4-guns-of-the-patriots,Metal Gear Solid 4: Guns of the Patriots,2008-06-12,94.0,4.38,653,20,2136,PlayStation 3,"Shooter, Action",2008
16294,tom-clancys-rainbow-six-vegas-2-2,Tom Clancy's Rainbow Six Vegas 2,2008-04-16,78.0,3.77,316,3,2112,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Strategy, Action",2008
5615,nfs-undercover,Need For Speed Undercover,2008-11-17,65.0,3.22,523,2,2059,"PC, Nintendo DS, Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii","Racing, Arcade",2008
12318,multiwinia,Multiwinia,2008-09-18,76.0,2.14,79,1,1983,"PC, macOS, Linux","Strategy, Indie",2008
5432,bionic-commando-rearmed,Bionic Commando: Rearmed,2008-08-14,86.0,3.23,118,1,1962,"PC, Xbox 360, PlayStation 3","Arcade, Adventure, Action",2008
19212,crash-time-2,Crash Time 2,2008-11-27,,2.32,110,1,1859,PC,"Racing, Action",2008
12726,toki-tori,Toki Tori,2008-06-02,80.0,2.84,120,1,1814,"PC, Nintendo Switch, Nintendo 3DS, macOS, Linux, Wii U, Wii","Casual, Indie",2008
14001,penumbra-requiem,Penumbra: Requiem,2008-08-27,67.0,3.36,127,1,1737,"PC, macOS, Linux","Indie, Adventure",2008
37337,alone-in-the-dark,Alone in the Dark (2008),2008-06-20,55.0,3.35,234,1,1620,"PC, Xbox 360, PlayStation 3, PlayStation 2, Wii","Adventure, Action",2008
28547,battlefield-bad-co,Battlefield: Bad Company,2008-06-23,84.0,3.95,300,1,1479,"Xbox One, Xbox 360, PlayStation 3","Shooter, Action",2008
19682,rise-of-the-argonauts,Rise of the Argonauts,2008-12-12,59.0,3.03,93,1,1449,"PC, Xbox 360, PlayStation 3","Action, RPG, Fighting",2008
17575,defense-grid-the-awakening,Defense Grid: The Awakening,2008-12-08,81.0,3.33,107,4,1432,"PC, macOS, Xbox 360, Classic Macintosh","Strategy, Indie",2008
28581,the-orange-box,The Orange Box,2008-01-01,94.0,4.54,325,6,1359,"PC, macOS, Linux, Xbox 360, PlayStation 3",Shooter,2008
19565,dark-sector,Dark Sector,2008-01-01,66.0,3.26,160,1,1342,"PC, Xbox 360, PlayStation 3","Shooter, Action",2008
5663,star-wars-the-force-unleashed,Star Wars: The Force Unleashed,2008-09-16,69.0,3.87,459,22,1305,"Nintendo Switch, iOS, Nintendo DS, Xbox 360, PlayStation 3, PlayStation 2, PSP, Wii","Adventure, Action",2008
5604,legendary,Legendary,2008-10-31,50.0,2.76,122,1,1304,"PC, Xbox 360, PlayStation 3","Shooter, Action",2008
15294,tension,The Void,2008-04-16,77.0,3.89,107,4,1279,PC,"Adventure, Action, RPG, Casual, Indie",2008
4587,sega-bass-fishing,SEGA Bass Fishing,2008-02-26,,2.72,35,1,1268,"PC, Xbox 360, PlayStation 3, Wii","Family, Action, Simulation, Sports",2008
9155,edna-harvey-the-breakout,Edna & Harvey: The Breakout,2008-06-05,,3.6,96,4,1248,"PC, iOS","Family, Indie, Adventure, Puzzle",2008
11564,spore-creepy-cute-parts-pack,SPORE Creepy & Cute Parts Pack,2008-12-19,,3.62,118,1,1222,PC,Simulation,2008
13759,x3-terran-conflict,X3: Terran Conflict,2008-10-16,73.0,3.53,64,2,1221,"PC, macOS, Linux","Strategy, Action, Simulation",2008
19372,silent-hill-homecoming-2,Silent Hill Homecoming,2008-09-30,64.0,3.22,252,1,1207,"PC, Xbox 360, PlayStation 3","Adventure, Action",2008
