id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
4200,portal-2,Portal 2,2011-04-18,95.0,4.59,5869,11,20491,"PC, Xbox One, macOS, Linux, Xbox 360, PlayStation 3","Shooter, Puzzle",2011
5679,the-elder-scrolls-v-skyrim,The Elder Scrolls V: Skyrim,2011-11-11,94.0,4.42,4746,46,16483,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, Xbox 360, PlayStation 3","Action, RPG",2011
422,terraria,Terraria,2011-05-16,81.0,4.07,2401,15,13340,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, Nintendo 3DS, macOS, Linux, Xbox 360, PlayStation 3, PS Vita, Wii U","Platformer, Indie, Action",2011
4386,saints-row-the-third,Saints Row: The Third,2011-11-15,84.0,3.95,2030,14,10235,"PC, Xbox One, Linux, Xbox 360, PlayStation 3","Adventure, Action",2011
4514,la-noire,L.A. Noire,2011-05-17,83.0,4.16,2037,7,9612,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3","Adventure, Action",2011
613,bastion,Bastion,2011-07-20,86.0,4.15,1656,4,8719,"PC, PlayStation 4, Xbox One, Nintendo Switch, iOS, macOS, Linux, Xbox 360, PS Vita","Indie, Adventure, Action, RPG",2011
10560,total-war-shogun-2,Total War: SHOGUN 2,2011-03-14,90.0,3.6,618,5,7442,"PC, macOS, Linux",Strategy,2011
18272,magicka,Magicka,2011-01-25,74.0,3.8,1081,5,7157,"PC, Android","Action, RPG",2011
28492,dead-island,Dead Island,2011-09-06,74.0,3.47,1339,7,7073,"PC, Xbox 360, PlayStation 3","Shooter, Action, RPG",2011
19384,the-binding-of-isaac,The Binding of Isaac,2011-09-28,84.0,3.9,1168,5,6827,"PC, macOS","Indie, Action, RPG",2011
4550,dead-space-2,Dead Space 2,2011-01-25,87.0,4.38,1376,5,6684,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Action",2011
28623,batman-arkham-city-2,Batman: Arkham City,2011-10-18,94.0,4.42,2113,20,6561,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Xbox 360, PlayStation 3",Action,2011
5703,uncharted-3-drakes-deception,Uncharted 3: Drake's Deception,2011-11-01,92.0,4.37,1918,12,6428,"PlayStation 4, PlayStation 3",Action,2011
19365,homefront,Homefront,2011-03-15,70.0,2.96,806,2,6415,"PC, Xbox 360, PlayStation 3",Shooter,2011
11276,call-of-duty-modern-warfare-3,Call of Duty: Modern Warfare 3,2011-11-08,85.0,3.77,1592,8,6245,"PC, Xbox One, iOS, macOS, Xbox 360, PlayStation 3, Wii","Shooter, Action",2011
4440,deus-ex-human-revolution,Deus Ex: Human Revolution,2011-08-22,89.0,4.37,1531,17,6122,"PC, Xbox One, macOS, Xbox 360, PlayStation 3","Action, RPG",2011
13194,to-the-moon,To the Moon,2011-01-10,81.0,4.29,1116,4,6116,"PC, Nintendo Switch, iOS, Android, macOS, Linux","Indie, Adventure, RPG",2011
4573,payday-the-heist,PAYDAY The Heist,2011-10-18,76.0,3.34,777,4,6059,"PC, PlayStation 3","Shooter, Action",2011
12756,warhammer-40000-space-marine,"Warhammer 40,000: Space Marine",2011-09-05,74.0,3.47,731,5,6056,"PC, Xbox 360, PlayStation 3","Shooter, Action",2011
14016,tropico-4,Tropico 4,2011-08-24,78.0,3.5,510,4,5738,"PC, Xbox One, macOS, Xbox 360","Strategy, Simulation",2011
14062,red-orchestra-2-heroes-of-stalingrad-with-rising-s,Red Orchestra 2: Heroes of Stalingrad with Rising Storm,2011-09-13,76.0,3.25,433,4,5434,PC,Action,2011
3697,serious-sam-3-bfe,Serious Sam 3: BFE,2011-11-22,72.0,3.46,768,4,5314,"PC, macOS, Linux, Xbox 360, PlayStation 3","Shooter, Indie, Action",2011
5565,fear-3,F.E.A.R. 3,2011-03-25,74.0,3.35,648,3,5088,"PC, Xbox 360, PlayStation 3","Shooter, Action",2011
4397,battlefield-3,Battlefield 3,2011-10-25,86.0,4.07,1332,4,4883,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Action",2011
19647,crysis-2-maximum-edition,Crysis 2 - Maximum Edition,2011-03-22,,3.71,607,2,4871,PC,Action,2011
4358,assassins-creed-revelations,Assassin's Creed Revelations,2011-11-15,80.0,3.98,1420,14,4794,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",Action,2011
5636,rage,Rage,2011-10-03,79.0,3.42,814,5,4597,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Action",2011
4491,shadow-of-the-colossus,Shadow of the Colossus (2011),2011-09-22,91.0,4.25,1010,3,4568,PlayStation 3,Action,2011
4523,red-faction-armageddon,Red Faction: Armageddon,2011-06-07,75.0,3.04,399,2,4454,"PC, Xbox 360, PlayStation 3","Shooter, Action",2011
4331,sonic-generations,Sonic Generations,2011-11-01,77.0,3.9,551,2,4306,"PC, Xbox One, PlayStation 4, Nintendo 3DS, Xbox 360, PlayStation 3","Family, Platformer, Arcade, Action",2011
4676,outland,Outland,2011-04-26,83.0,2.9,337,3,4156,"PC, macOS, Linux, Xbox 360, PlayStation 3","Indie, Platformer, Adventure, Action",2011
16191,galactic-civilizations-ii-ultimate-edition,Galactic Civilizations II: Ultimate Edition,2011-12-02,92.0,2.64,218,1,4130,PC,Strategy,2011
4612,renegade-ops,Renegade Ops,2011-09-13,76.0,2.97,320,2,4073,"PC, Xbox 360, PlayStation 3","Shooter, Action",2011
10327,spacechem,SpaceChem,2011-01-01,84.0,3.08,240,2,3624,"PC, Android, macOS, Linux","Strategy, Indie, Simulation, Puzzle",2011
4602,bulletstorm,Bulletstorm,2011-02-22,83.0,4.08,855,4,3519,"PC, Xbox One, Xbox 360, PlayStation 3","Shooter, Action",2011
4361,rayman-origins,Rayman Origins,2011-11-15,86.0,4.13,752,2,3518,"PC, Xbox One, iOS, Nintendo 3DS, macOS, Xbox 360, PlayStation 3, PS Vita, Wii","Family, Platformer, Arcade, Action",2011
17357,orcs-must-die,Orcs Must Die!,2011-10-05,83.0,3.7,428,3,3482,"PC, Xbox 360","Strategy, Indie, Action",2011
18287,anomaly-warzone-earth,Anomaly: Warzone Earth,2011-04-07,80.0,2.91,227,2,3453,"PC, iOS, Android, macOS, Linux, Xbox 360, PlayStation 3","Strategy, Indie, Action, Simulation",2011
4111,lord-of-the-rings-war-in-the-north,Lord of the Rings: War in the North,2011-11-01,66.0,3.34,388,3,3427,"PC, Xbox 360, PlayStation 3","Action, RPG",2011
4520,alice-madness-returns,Alice: Madness Returns,2011-06-14,75.0,4.01,561,3,3358,"PC, Xbox One, Xbox 360, PlayStation 3","Adventure, Action",2011
4483,duke-nukem-forever,Duke Nukem Forever,2011-06-09,54.0,2.87,549,3,3319,"PC, Xbox One, macOS, Xbox 360, PlayStation 3","Shooter, Action",2011
5538,dark-souls,Dark Souls,2011-09-22,89.0,4.34,916,48,3281,"PC, Xbox 360, PlayStation 3","Action, RPG",2011
10602,dino-d-day,Dino D-Day,2011-04-08,53.0,2.43,215,3,3154,PC,"Indie, Action",2011
4466,catherine,Catherine,2011-02-17,80.0,4.14,496,4,3108,"PC, Xbox One, Xbox 360, PlayStation 3","Adventure, Action, RPG, Puzzle",2011
38965,star-wars-the-old-republic,Star Wars: The Old Republic,2011-12-20,85.0,3.84,271,5,2977,PC,"Massively Multiplayer, RPG",2011
28580,dragon-age-2,Dragon Age 2,2011-03-08,81.0,3.85,832,9,2967,"PC, Xbox One, macOS, Xbox 360, PlayStation 3","Adventure, Action, RPG",2011
897,superbrothers-sword-sworcery,Superbrothers: Sword & Sworcery,2011-03-24,,3.48,269,1,2934,"PC, Nintendo Switch, iOS, Android, macOS, Linux","Indie, Adventure, RPG",2011
5524,brink,Brink,2011-05-09,70.0,2.72,403,2,2921,"PC, Xbox 360, PlayStation 3","Shooter, Action",2011
5544,dirt-3,DiRT 3,2011-05-24,87.0,3.68,407,2,2813,"PC, Xbox 360, PlayStation 3","Racing, Arcade, Sports",2011
12761,dawn-of-war-ii-retribution,"Warhammer 40,000: Dawn of War II: Retribution",2011-02-28,80.0,3.81,265,6,2804,"PC, macOS, Linux","Strategy, RPG",2011
40265,dungeon-siege-3,Dungeon Siege 3,2011-05-31,72.0,3.11,225,2,2612,"PC, Xbox 360, PlayStation 3","Action, RPG",2011
28632,gears-of-war-3,Gears of War 3,2011-09-20,91.0,4.2,588,16,2599,"Xbox One, Xbox 360",Shooter,2011
16344,sanctum,Sanctum,2011-04-15,70.0,3.28,192,2,2547,"PC, macOS","Shooter, Action, Casual, Strategy, Indie",2011
17087,the-tiny-bang-story,The Tiny Bang Story,2011-04-21,63.0,3.17,229,4,2528,"PC, Nintendo Switch, iOS, Android, macOS, Linux","Adventure, Puzzle, Casual, Family, Indie",2011
4489,crysis-2,Crysis 2,2011-03-22,85.0,3.85,720,13,2495,"PC, Xbox 360, PlayStation 3","Shooter, Action",2011
51,apb-reloaded,APB Reloaded,2011-12-06,,2.31,249,3,2424,"PC, Xbox One, PlayStation 4","Shooter, Massively Multiplayer, Action",2011
4796,stacking,Stacking,2011-02-07,80.0,3.35,189,3,2417,"PC, macOS, Linux, Xbox 360, PlayStation 3","Adventure, Action, RPG, Puzzle, Indie",2011
674,frozen-synapse,Frozen Synapse,2011-05-25,85.0,3.28,178,2,2356,"PC, iOS, macOS, Linux","Strategy, Indie, Action",2011
1559,sonic-cd,Sonic CD,2011-12-14,,3.65,247,1,2338,"PC, Xbox One, iOS, Android, Xbox 360, PlayStation 3, SEGA CD","Platformer, Action",2011
18853,puzzle-agent-2,Puzzle Agent 2,2011-06-29,63.0,3.32,102,3,2188,"PC, iOS, macOS","Casual, Adventure, Puzzle",2011
40936,jamestown-2,Jamestown: Legend of the Lost Colony,2011-06-08,81.0,3.28,142,1,2180,"PC, PlayStation 4, macOS","Indie, Arcade, Action",2011
4143,rocketbirds-hardboiled-chicken,Rocketbirds: Hardboiled Chicken,2011-10-18,74.0,3.09,140,3,2173,"PC, PlayStation 4, macOS, Linux, PlayStation 3, PS Vita","Indie, Adventure",2011
16255,harveys-new-eyes,Edna & Harvey: Harvey's New Eyes,2011-08-26,75.0,3.3,144,3,2169,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Linux","Indie, Adventure, RPG, Puzzle",2011
22844,treasure-adventure-game,Treasure Adventure Game,2011-11-25,,1.96,157,1,2162,PC,"Adventure, Action, RPG, Indie, Platformer",2011
4465,worms-ultimate-mayhem,Worms Ultimate Mayhem,2011-09-18,66.0,3.69,205,2,2159,"PC, Xbox 360, PlayStation 3","Strategy, Action",2011
4241,lego-harry-potter-years-5-7,LEGO Harry Potter: Years 5-7,2011-11-11,80.0,3.69,288,4,2126,"PC, Android, Nintendo 3DS, Nintendo DS, macOS, Xbox 360, PlayStation 3, PS Vita, PSP, Wii",Action,2011
13764,spiral-knights,Spiral Knights,2011-04-04,64.0,2.87,141,2,2116,"PC, macOS",Massively Multiplayer,2011
4671,infamous-2,inFAMOUS 2,2011-06-07,83.0,4.13,529,13,2110,PlayStation 3,"Adventure, Action",2011
16760,really-big-sky,Really Big Sky,2011-06-29,,2.38,104,2,2107,PC,"Indie, Action",2011
40645,back-to-the-future-ep-2-get-tannen,Back to the Future: The Game - Episode 2. Get Tannen,2011-02-17,,3.22,113,3,2101,"PC, macOS, PlayStation 3",Adventure,2011
18844,back-to-the-future-ep-4-double-visions,Back to the Future: The Game - Episode 4. Double Visions,2011-04-29,,3.18,103,3,2095,"PC, macOS, PlayStation 3",Adventure,2011
40646,back-to-the-future-ep-3-citizen-brown,Back to the Future: The Game - Episode 3. Citizen Brown,2011-03-05,,3.23,108,3,2094,"PC, macOS, PlayStation 3",Adventure,2011
40648,back-to-the-future-ep-5-outatime,Back to the Future: The Game - Episode 5. OUTATIME,2011-06-23,,3.2,100,3,2092,"PC, macOS, PlayStation 3",Adventure,2011
3993,final-fantasy-xiii-2,FINAL FANTASY XIII-2,2011-12-15,,3.55,293,4,2068,"PC, Android, Xbox 360, PlayStation 3",RPG,2011
1984,unepic,Unepic,2011-09-29,68.0,3.98,251,5,2059,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux, PS Vita, Wii U","Platformer, Indie, Action, RPG",2011
16168,beep,BEEP,2011-03-30,,1.93,103,3,2023,PC,"Racing, Adventure, Action, RPG, Casual, Strategy, Simulation, Sports, Indie",2011
18290,eye-divine-cybermancy,E.Y.E: Divine Cybermancy,2011-07-29,,3.15,205,5,2009,PC,"Shooter, Indie, Action, RPG",2011
19377,operation-flashpoint-red-river,Operation Flashpoint: Red River,2011-04-19,67.0,2.69,84,1,1986,"PC, Xbox 360","Shooter, Strategy, Action",2011
5940,nightsky,NightSky,2011-01-06,78.0,2.71,98,1,1978,"PC, iOS, Nintendo 3DS, macOS, Linux","Action, Puzzle, Casual, Strategy, Indie",2011
12729,lego-star-wars-iii,LEGO Star Wars III - The Clone Wars,2011-03-21,76.0,3.78,259,3,1962,"PC, Xbox One, Nintendo 3DS, Nintendo DS, macOS, Xbox 360, PlayStation 3, PSP, Wii","Arcade, Family, Adventure, Action",2011
17094,dungeons-of-dredmor,Dungeons of Dredmor,2011-07-13,79.0,3.42,144,3,1943,"PC, macOS, Linux","Indie, RPG",2011
2018,cthulhu-saves-the-world,Cthulhu Saves the World,2011-07-13,78.0,2.95,86,3,1919,"PC, iOS","Indie, Adventure, RPG",2011
4519,trine-2,Trine 2,2011-12-07,,3.94,302,3,1914,"PC, Xbox 360, PlayStation 3","Platformer, Arcade, Action",2011
17573,capsized,Capsized,2011-04-28,80.0,2.8,97,1,1911,"PC, macOS, Linux, Xbox 360","Indie, Platformer, Adventure, Action",2011
16188,space-pirates-and-zombies,Space Pirates and Zombies,2011-08-14,74.0,3.13,96,3,1868,"PC, macOS, Linux","Strategy, Indie, Action, RPG",2011
9606,rift,RIFT,2011-03-01,84.0,2.91,145,4,1860,PC,"Adventure, Action, RPG, Strategy, Massively Multiplayer",2011
4356,littlebigplanet-2,LittleBigPlanet 2,2011-01-18,,4.09,395,5,1857,PlayStation 3,"Arcade, Action",2011
17515,rochard,Rochard,2011-11-15,81.0,3.1,124,1,1849,"PC, macOS, Linux","Casual, Indie, Action",2011
4380,rock-of-ages,Rock of Ages,2011-08-31,74.0,3.5,206,2,1827,"PC, Xbox 360, PlayStation 3","Racing, Strategy, Platformer, Action",2011
4475,uncharted-golden-abyss,Uncharted: Golden Abyss,2011-12-17,80.0,3.82,413,16,1791,PS Vita,"Adventure, Action",2011
764,dc-universe-online,DC Universe Online,2011-01-11,72.0,2.96,171,5,1789,"PC, Xbox One, PlayStation 4, Nintendo Switch, PlayStation 3","Massively Multiplayer, Adventure, Action, RPG",2011
385614,grimm,Grimm - GameClub,2011-01-04,,1.94,87,0,1757,iOS,"Indie, Adventure, Action, Puzzle",2011
21233,breath-of-death-vii,Breath of Death VII,2011-07-13,,2.66,70,1,1741,PC,"Indie, RPG",2011
19306,serious-sam-the-random-encounter,Serious Sam: The Random Encounter,2011-10-24,64.0,2.62,88,1,1728,PC,"Indie, Action, RPG",2011
597,edge,Edge,2011-08-11,74.0,3.6,157,1,1714,"PC, iOS, Android, Nintendo 3DS, macOS, Linux, PlayStation 3, PSP, Wii U","Adventure, Action, Puzzle, Casual, Arcade, Indie",2011
17949,dead-rising-2-off-the-record-2,Dead Rising 2: Off the Record,2011-04-13,66.0,3.51,161,5,1694,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3","Adventure, Action",2011
20828,serious-sam-double-d-xxl,Serious Sam Double D XXL,2011-08-30,67.0,2.63,92,1,1691,"PC, Xbox 360","Shooter, Indie, Action",2011
2137,gemini-rue,Gemini Rue,2011-02-23,82.0,3.66,123,2,1643,"PC, iOS, Android, macOS, Linux","Indie, Adventure, RPG",2011
5550,driver-san-francisco,Driver San Francisco,2011-09-01,80.0,3.79,379,4,1623,"PC, Xbox 360, PlayStation 3, Wii","Racing, Arcade, Action",2011
