id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
324997,baldurs-gate-3,Baldur's Gate III,2023-08-03,97.0,4.45,827,19,4218,"PC, PlayStation 5, Xbox Series S/X, macOS","Strategy, Adventure, RPG",2023
906547,hogwarts-legacy,Hogwarts Legacy,2023-02-10,,3.95,770,30,3369,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch","Action, RPG",2023
268446,barotrauma,Barotrauma,2023-03-13,81.0,3.78,184,4,2205,"PC, macOS, Linux","Strategy, Indie, Action, Simulation",2023
50576,atomic-heart,Atomic Heart,2023-02-21,73.0,3.86,554,12,2046,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X","Shooter, Adventure, Action",2023
795632,resident-evil-4-2023,Resident Evil 4,2023-03-24,,4.62,496,24,1957,"PC, PlayStation 5, PlayStation 4, Xbox Series S/X, iOS","Adventure, Action",2023
58779,starfield,Starfield,2023-09-06,88.0,3.27,311,29,1865,"PC, Xbox Series S/X","Adventure, RPG",2023
638654,dead-space-5,Dead Space,2023-01-27,,4.38,274,4,1665,"PC, PlayStation 5, Xbox Series S/X","Adventure, Action",2023
327239,the-legend-of-zelda-breath-of-the-wild-sequel,The Legend of Zelda: Tears of the Kingdom,2023-05-12,96.0,4.39,423,0,1586,Nintendo Switch,"Adventure, Action",2023
840788,the-finals,The Finals,2023-12-07,,3.72,186,3,1560,"PC, PlayStation 5, Xbox Series S/X","Shooter, Action",2023
914789,hi-fi-rush,Hi-Fi Rush,2023-01-25,,4.37,319,4,1506,"PC, PlayStation 5, Xbox Series S/X","Adventure, Action",2023
580972,alan-wake-2,Alan Wake 2,2023-10-27,,4.39,338,0,1400,"PC, PlayStation 5, Xbox Series S/X",Action,2023
388309,diablo-iv,Diablo IV,2023-06-06,90.0,3.78,262,14,1350,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X","Action, RPG",2023
793647,star-wars-jedi-survivor,Star Wars Jedi: Survivor,2023-04-27,,4.27,199,18,1294,"PC, PlayStation 5, Xbox Series S/X","Adventure, Action",2023
300682,ready-or-not,Ready or Not,2023-12-13,,4.01,149,6,1231,PC,"Indie, Shooter, Adventure, Action",2023
662316,marvels-spider-man-2,Marvel's Spider-Man 2,2023-10-20,,4.36,237,2,1213,"PC, PlayStation 5","Adventure, Action",2023
605674,lies-of-p,Lies Of P,2023-09-19,,4.19,233,28,1185,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, macOS","Action, RPG",2023
309190,black-survival-eternal-return,Black Survival: Eternal Return,2023-07-20,,2.6,48,2,1135,PC,"Strategy, Indie",2023
15272,system-shock,System Shock,2023-05-30,78.0,3.84,116,2,1103,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Linux","Shooter, Adventure, Action",2023
842402,dredge,Dredge,2023-03-29,,4.3,191,8,1091,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch","Adventure, RPG",2023
968329,lethal-company,Lethal Company,2023-10-23,,4.27,126,8,995,PC,"Indie, Adventure, Action",2023
846303,cyberpunk-2077-phantom-liberty,Cyberpunk 2077: Phantom Liberty,2023-09-26,,4.7,318,0,993,"PC, PlayStation 5, Xbox Series S/X","Shooter, Action",2023
871264,dave-the-diver,Dave the Diver,2023-06-28,,4.28,147,9,942,"PC, Nintendo Switch, macOS","Adventure, Action, RPG, Simulation",2023
494382,final-fantasy-xvi,Final Fantasy XVI,2023-06-22,88.0,4.19,134,16,938,"PC, PlayStation 5","Action, RPG",2023
966349,we-were-here-expeditions-the-friendship,We Were Here Expeditions: The FriendShip,2023-09-14,,3.86,61,3,894,"PC, PlayStation 5","Casual, Indie, Adventure",2023
42857,dead-island-2,Dead Island 2,2023-04-21,75.0,3.69,179,11,887,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X","Adventure, Action",2023
845261,assassins-creed-mirage,Assassin's Creed Mirage,2023-10-05,,3.42,129,23,854,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, iOS",Action,2023
452636,project-athia,Forspoken,2023-01-24,64.0,2.08,139,12,844,"PC, PlayStation 5","Adventure, Action",2023
949868,the-murder-of-sonic-the-hedgehog,The Murder of Sonic the Hedgehog,2023-03-31,,3.36,43,2,839,"PC, macOS","Casual, Indie, Arcade, Simulation",2023
427490,sea-of-stars-2,Sea of Stars,2023-08-28,90.0,4.3,103,7,758,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch",RPG,2023
614961,planet-of-lana,Planet of Lana,2023-05-23,,3.98,122,4,727,"PC, Xbox One, Xbox Series S/X, Nintendo Switch","Adventure, Action, Puzzle, Indie, Platformer",2023
61332,world-of-horror,World of Horror,2023-10-19,,4.1,58,2,662,"PC, PlayStation 4, Nintendo Switch, macOS","Indie, RPG",2023
936663,fortnite-looping,Fortnite Looping,2023-03-05,,4.3,243,0,630,"PC, Android","Shooter, Action",2023
801623,cocoon-2,Cocoon,2023-09-29,,4.38,168,5,622,"PC, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch","Indie, Adventure, Puzzle",2023
801638,wo-long-fallen-dynasty,Wo Long: Fallen Dynasty,2023-03-03,,3.52,102,0,601,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",Action,2023
631942,robocop-rogue-city,RoboCop: Rogue City,2023-11-02,,4.04,102,5,596,"PC, PlayStation 5, Xbox Series S/X","Adventure, Action",2023
705258,have-a-nice-death,Have a Nice Death,2023-03-22,,3.62,65,2,589,"PC, Xbox Series S/X, Nintendo Switch","Platformer, Indie, Action",2023
677165,ghostrunner-2,Ghostrunner 2,2023-10-26,,3.81,63,4,584,"PC, PlayStation 5, Xbox Series S/X",Action,2023
892902,armored-core-vi,Armored Core VI: Fires of Rubicon,2023-08-25,,4.18,77,11,578,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X",Action,2023
842395,disney-dreamlight-valley,Disney Dreamlight Valley,2023-12-05,,3.49,55,8,573,"PC, PlayStation 5, Xbox One, PlayStation 4, Xbox Series S/X, Nintendo Switch, iOS, Android, macOS","Adventure, Simulation",2023
