id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
430,grand-theft-auto-vice-city,Grand Theft Auto: Vice City,2002-10-27,94.0,4.45,2985,2,9635,"PC, PlayStation 4, iOS, Android, macOS, Xbox, PlayStation 2, PS Vita",Action,2002
3486,syberia,Syberia,2002-01-09,82.0,3.93,786,3,6803,"PC, Nintendo Switch, iOS, Android, Nintendo DS, macOS, Xbox 360, PlayStation 3","Adventure, Puzzle",2002
30899,mafia-the-city-of-lost-heaven,Mafia: The City of Lost Heaven,2002-08-28,88.0,4.35,1283,2,5940,"PC, Xbox, PlayStation 2",Action,2002
13820,morrowind,The Elder Scrolls III: Morrowind,2002-05-01,89.0,4.37,1022,2,4972,"PC, Xbox 360, Xbox",RPG,2002
19592,hitman-2-silent-assassin,Hitman 2: Silent Assassin,2002-10-01,87.0,3.94,644,1,4624,"PC, Xbox 360, Xbox, PlayStation 3, PlayStation 2, GameCube","Shooter, Action",2002
17295,enclave,Enclave,2002-07-18,71.0,3.09,342,3,4016,"PC, macOS, Linux","Adventure, Action, RPG",2002
12018,star-wars-jedi-knight-ii-jedi-outcast,Star Wars Jedi Knight II: Jedi Outcast,2002-03-01,89.0,4.19,454,1,3795,"PC, PlayStation 4, Nintendo Switch, macOS, Xbox, GameCube, Classic Macintosh","Shooter, Adventure, Action",2002
22790,serious-sam-the-second-encounter,Serious Sam: The Second Encounter,2002-02-02,85.0,4.01,509,1,3192,PC,"Shooter, Indie, Action",2002
17844,divine-divinity,Divine Divinity,2002-09-13,81.0,3.5,267,1,2999,"PC, macOS","Action, RPG",2002
30445,warcraft-3-reign-of-chaos,Warcraft 3: Reign of Chaos,2002-06-01,92.0,4.45,1386,0,2275,"PC, macOS",Strategy,2002
19646,splinter-cell,Tom Clancy's Splinter Cell,2002-11-17,91.0,4.17,476,2,2251,"PC, Xbox One, Xbox 360, Xbox, PlayStation 3, PlayStation 2, GameCube, Game Boy Advance, Classic Macintosh","Adventure, Action",2002
16144,dungeon-siege,Dungeon Siege,2002-04-05,86.0,3.94,212,1,2136,"PC, macOS",RPG,2002
13833,stronghold-crusader-hd,Stronghold Crusader HD,2002-09-26,78.0,4.22,238,3,2073,"PC, macOS","Strategy, Simulation",2002
16677,arx-fatalis,Arx Fatalis,2002-11-11,77.0,3.95,164,1,1816,"PC, macOS, Linux, Xbox","Adventure, Action, RPG",2002
13038,red-faction-ii,Red Faction II,2002-10-14,64.0,3.48,167,1,1801,"PC, PlayStation 4, Xbox One, Xbox 360, Xbox, PlayStation 3, PlayStation 2, GameCube","Shooter, Strategy, Action",2002
19645,worms-blast,Worms Blast,2002-03-22,73.0,2.59,81,1,1493,"PC, PlayStation 2, GameCube, Game Boy Advance, Classic Macintosh","Casual, Strategy, Action, Puzzle",2002
56183,resident-evil-2002,Resident Evil (2002),2002-03-22,88.0,4.38,305,1,1246,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3, Wii, GameCube",Action,2002
19096,rollercoaster-tycoon-2-triple-thrill-pack,RollerCoaster Tycoon 2: Triple Thrill Pack,2002-10-14,74.0,4.11,114,1,1192,PC,"Strategy, Simulation",2002
14933,space-channel-5-part-2-2,Space Channel 5: Part 2,2002-02-14,78.0,3.53,47,1,1150,"PC, PlayStation 2, Dreamcast",Action,2002
20966,gun-metal,Gun Metal,2002-06-30,63.0,2.6,40,4,1050,"PC, Xbox",Action,2002
56092,the-legend-of-zelda-the-wind-waker,The Legend of Zelda: The Wind Waker,2002-12-13,,4.35,472,37,1010,GameCube,Action,2002
4555,bloodrayne,BloodRayne,2002-10-15,65.0,3.92,258,4,971,"PC, Nintendo Switch, Xbox, PlayStation 3, PlayStation 2, GameCube, Classic Macintosh","Shooter, Action",2002
16431,robin-hood-the-legend-of-sherwood,Robin Hood: The Legend of Sherwood,2002-11-13,80.0,4.08,94,1,933,"PC, macOS",Strategy,2002
