id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
15851,star-wars-dark-forces-2,Star Wars: Dark Forces,1995-02-28,,3.65,261,1,3092,"PC, PlayStation, Classic Macintosh","Shooter, Action",1995
28300,nights-into-dreams,NiGHTS into dreams...,1995-02-11,,3.06,109,1,2750,"PC, Xbox 360, PlayStation 3, SEGA Saturn","Platformer, Adventure",1995
22412,ultimate-doom,Ultimate Doom,1995-12-31,,4.43,289,1,2523,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, macOS, Xbox 360, Classic Macintosh","Shooter, Action",1995
9989,i-have-no-mouth-and-i-must-scream-2,"I Have No Mouth, and I Must Scream",1995-10-31,,3.33,130,3,2282,"PC, iOS, Android, macOS, Linux","Adventure, Puzzle",1995
5383,worms,Worms,1995-01-01,,3.78,254,1,2116,"PC, iOS, Xbox 360, PlayStation, Game Boy, SNES, Classic Macintosh, Commodore / Amiga, Genesis, SEGA Saturn, Jaguar","Strategy, Arcade, Action",1995
20568,x-com-terror-from-the-deep,X-COM: Terror From the Deep,1995-03-31,,3.44,127,1,1950,"PC, PlayStation",Strategy,1995
21759,master-levels-for-doom-ii,Master Levels for Doom II,1995-08-03,,3.86,114,1,1947,"PC, Linux, Classic Macintosh","Shooter, Action",1995
22934,flight-of-the-amazon-queen,Flight of the Amazon Queen,1995-01-01,,2.36,78,1,1623,"PC, iOS, Android, macOS, Classic Macintosh, Commodore / Amiga","Adventure, Puzzle",1995
52800,chrono-trigger-1995,Chrono Trigger,1995-03-11,82.0,4.32,476,6,1180,"PC, iOS, Android, Nintendo DS, Wii, SNES",RPG,1995
21285,hexen-for-windows-95,HeXen: Beyond Heretic,1995-10-30,,3.79,109,1,1105,"PC, PlayStation, Nintendo 64, Classic Macintosh, SEGA Saturn","Shooter, Action",1995
21098,slipstream-5000,Slipstream 5000,1995-12-30,,2.03,29,4,893,"PC, macOS, Linux","Racing, Arcade, Action, Sports",1995
13051,the-dig,The Dig,1995-11-30,,3.89,63,2,850,"PC, macOS, Linux",Adventure,1995
53207,comix-zone-1995,Comix Zone,1995-01-01,,4.34,268,0,797,"PC, iOS, Android, Xbox 360, PlayStation 3, Wii, Game Boy Advance, Genesis, SEGA Master System",Action,1995
53432,ultimate-mortal-kombat-3,Ultimate Mortal Kombat 3,1995-11-06,62.0,4.43,457,0,709,"iOS, Xbox 360, SNES, Genesis, SEGA Saturn, 3DO",Fighting,1995
18629,phantasmagoria,Phantasmagoria,1995-07-30,,3.6,50,1,701,PC,Adventure,1995
21400,earthworm-jim-2,Earthworm Jim 2,1995-09-18,45.0,4.27,161,1,600,"PC, macOS, Linux, PlayStation, Wii, Game Boy Advance, SNES, Genesis, SEGA Saturn","Adventure, Action",1995
57967,warcraft-ii-tides-of-darkness,Warcraft II: Tides of Darkness,1995-12-09,,4.36,300,0,568,"PC, PlayStation, Classic Macintosh",Strategy,1995
