id,slug,name,released,metacritic,rating,ratings_count,playtime,added,platforms,genres,year
11973,shadow-of-mordor,Middle-earth: Shadow of Mordor,2014-09-30,85.0,3.9,2496,13,11598,"PC, PlayStation 4, Xbox One, macOS, Linux, Xbox 360, PlayStation 3","Action, RPG",2014
3696,wolfenstein-the-new-order,Wolfenstein: The New Order,2014-05-19,81.0,4.18,2460,12,10314,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3","Shooter, Action",2014
3604,metro-last-light-redux,Metro: Last Light Redux,2014-08-25,76.0,4.13,1660,7,9242,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux","Shooter, Action",2014
3543,borderlands-the-pre-sequel,Borderlands: The Pre-Sequel,2014-10-13,75.0,3.56,1361,6,9241,"PC, Android, macOS, Linux, Xbox 360, PlayStation 3","Shooter, Action, RPG",2014
3747,metal-gear-solid-v-ground-zeroes,Metal Gear Solid V: Ground Zeroes,2014-03-18,80.0,3.9,1696,3,9070,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3","Shooter, Action",2014
3603,metro-redux,Metro 2033 Redux,2014-08-25,88.0,4.1,1881,6,9066,"PC, Xbox One, PlayStation 4, Nintendo Switch, macOS, Linux","Shooter, Action",2014
3636,the-last-of-us-remastered,The Last Of Us Remastered,2014-07-29,95.0,4.69,2827,16,8920,PlayStation 4,"Adventure, Action",2014
9743,unturned,Unturned,2014-07-07,,2.73,1099,3,8520,"PC, Xbox One, PlayStation 4, macOS, Linux","Shooter, Action",2014
3687,watch-dogs,Watch Dogs,2014-05-27,77.0,3.59,2162,16,8250,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3, Wii U","Adventure, Action",2014
9830,brawlhalla,Brawlhalla,2014-04-30,,3.22,1096,2,8244,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android, macOS","Casual, Indie, Action, Fighting",2014
3556,alien-isolation,Alien: Isolation,2014-10-05,81.0,4.2,1432,4,8088,"PC, Xbox One, PlayStation 4, Nintendo Switch, iOS, Android","Adventure, Action",2014
1010,transistor,Transistor,2014-05-20,83.0,4.17,1456,4,7794,"PC, PlayStation 4, Nintendo Switch, iOS, macOS, Linux","Indie, Action, RPG",2014
12024,insurgency,Insurgency,2014-01-22,74.0,3.42,964,4,7559,"PC, macOS, Linux","Shooter, Indie, Action",2014
3497,far-cry-4,Far Cry 4,2014-11-18,80.0,3.82,1865,17,7556,"PC, Xbox One, PlayStation 4, Xbox 360, PlayStation 3",Shooter,2014
22571,black-desert-online,Black Desert Online,2014-12-01,73.0,2.91,636,4,7491,"PC, Xbox One, PlayStation 4","Adventure, Action, RPG, Strategy, Simulation, Massively Multiplayer",2014
1090,this-war-of-mine,This War of Mine,2014-11-14,83.0,4.07,1222,4,7304,"PC, Nintendo Switch, iOS, Android, macOS, Linux, PS Vita","Indie, Adventure, Simulation",2014
3766,thief,Thief,2014-02-25,70.0,3.26,1259,5,7275,"PC, Xbox One, PlayStation 4, macOS, Xbox 360, PlayStation 3","Adventure, Action",2014
3474,lara-croft-and-the-temple-of-osiris,Lara Croft and the Temple of Osiris,2014-12-08,73.0,3.09,647,2,7170,"PC, Xbox One, PlayStation 4","Adventure, Action, Puzzle",2014
3757,south-park-the-stick-of-truth,South Park: The Stick of Truth,2014-03-04,84.0,4.22,1670,12,6996,"PC, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3","Adventure, RPG",2014
857,halo-the-master-chief-collection,Halo: The Master Chief Collection,2014-11-11,85.0,4.25,1080,7,6897,"PC, Xbox One","Adventure, Action",2014
